text,original_keywords,my_keywords
"Исследователи из компании Valisure обнаружили высокие уровни бензола — промышленного химического вещества и известного канцерогена — в средствах для борьбы с потоотделением и устранения запаха производства популярных брендов. Американская независимая компания Valisure изучила 108 партий антиперспирантов и дезодорантов в виде спреев от 30 брендов и обнаружила более чем в половине из них бензол. Уровни этого химического вещества, который входит в топ-20 по объемам использования в производстве, в некоторых случаях достигали почти 18 частей на миллион.

«54% образцов, протестированных Valisure, показали определяемые уровни бензола, а некоторые партии содержали его в концентрациях, в девять раз превышающих норму FDA (две части на миллион, ppm). <…> Двадцать четыре партии спреев для тела восьми различных марок содержали от 2,24 до 17,7 ppm бензола, 14 партий от восьми марок — в диапазоне 0,20 до 1,89 ppm, 21 партия от восьми брендов — менее 0,1 ppm. Бензол не обнаружили в 49 партиях спреев для тела от 19 различных брендов при первоначальном анализе по крайней мере одного образца», — сообщается в пресс-релизе. Бензол — органическое химическое соединение, которое при комнатной температуре представляет собой бесцветную или светло-желтую жидкость, имеет сладкий запах, легко воспламеняется и быстро испаряется в воздухе, но плохо растворяется в воде. Проблема в том, что это вещество заставляет клетки организма работать некорректно: как следствие костный мозг может не вырабатывать достаточно красных кровяных телец и произойдет анемия. Бензол способен нанести вред иммунной системе, изменяя уровень антител в крови и вызывая потерю лейкоцитов. Помимо этого, он имеет канцерогенные свойства, в долгосрочной перспективе повышая риск развития лейкоза — злокачественного заболевания кроветворной системы.

У женщин, подвергавшихся продолжительному воздействию бензола, нарушался менструальный цикл, а яичники уменьшались в размерах. Также исследования на животных выявили у детенышей, чьи матери во время беременности вдыхали это химическое вещество, низкий вес при рождении, задержку образования костной ткани и повреждения костного мозга. Итак, как показало исследование Valisure, некоторые партии антиперспирантов в виде спреев бренда Old Spice и Secret от компании Procter & Gamble Co. содержат самые высокие уровни бензола (до 17,7 ppm и 16,2 ppm соответственно) — наряду со средствами Tag, Equate от Walmart Inc. и Suave от Unilever PLC (14,1 ppm, 6,15 ppm и 5,21 ppm соответственно). В меньших количествах его выявили в дезодоранте-спрее для тела от Victoria’s Secret & Co. и предназначенном для интимной зоны Summer’s Eve от Prestige Consumer Healthcare Inc. В продукции Sanofi’s Gold Bond и антиперспирантах Dove и Axe бензола не обнаружили (как и в нескольких дезодорантах Old Spice).

По мнению специалистов, больше всего этого химического вещества будет в средствах, содержащих бутан, в отличие от спреев, где в качестве пропеллента (создает давление внутри аэрозольного баллона для вытеснения продукта из упаковки) использовали спирт. Valisure уже направила петицию в Управление по санитарному надзору за качеством пищевых продуктов и медикаментов США и просит снять с продажи партии, в которых было повышенное содержание бензола. «По оценкам Агентства по охране окружающей среды США (EPA), воздействие бензола на протяжении всей жизни на уровне 0,4 части на миллиард, или 0,0004 части на миллион, повысит риск развития рака у людей. <…> Хотя рассчитанная EPA допустимая концентрация в воздухе — 0,4 части на миллиард — не относится напрямую к уровню загрязнения внутри аэрозоля (мы не вдыхаем его содержимое полностью), это позволяет оценить потенциальное воздействие таких продуктов, как спреи для тела, которые регулярно используют в помещениях. К тому же многие из протестированных Valisure спреев содержат легколетучие пропелленты, такие как бутан, пропан и другие: они могут испаряться и быстро рассеивать бензол в воздухе», — объяснили специалисты.

Согласно расчетам, пять граммов средства с наиболее высокими уровнями бензола могут увеличить концентрацию этого вещества в воздухе до 28 частей на миллиард, что в 69 раз больше установленного EPA порога. «Если использовать спрей в ванной объемом 160 футов кубических (4,53 метра кубических. — Прим. ред.) и если у содержимого будет больше времени для распространения по помещению, концентрации бензола в комнате составят шесть частей на миллиард, это примерно в 15 раз больше допустимых показателей повышенного риска рака», — добавили в Valisure. Управление по санитарному надзору за качеством пищевых продуктов и медикаментов США признает опасность бензола и причисляет его к растворителям первого класса, то есть генотоксичным канцерогенам, которые из-за токсичности не следует использовать в производстве лекарств и вспомогательных веществ. Если же этого никак не избежать, а препараты важны, уровни растворителей должны быть ограничены: в крайних случаях допускается содержание до двух частей на миллион бензола. Однако антиперспиранты и дезодоранты нельзя отнести к жизненно важным средствам, подытожили исследователи.","бензол, дезодорант, канцерогены, рак, химикаты","дезодорант, бензол, канцерогены "
"Международная группа нейробиологов обнаружила механизмы, которые указывают на то, что иглоукалывание может быть действенным. Правда, лишь в определенных зонах тела: в других его действие ничем не подтверждается. Работа опубликована в журнале Nature. Иглоукалывание, как известно, — традиционная китайская методика, которая использовалась для лечения различных проблем со здоровьем на протяжении многих тысяч лет. Интересно, что в последние десятилетия акупунктура все чаще применяется и в западной медицине для лечения различного рода воспалительных заболеваний.

Несколько лет назад ученые показали, что электроакупунктура — современная версия иглоукалывания, использующая электрическую стимуляцию определенных точек тела — может ослабить цитокиновый шторм (возникающий не только в связи с пневмонией, но еще сепсисом или терапией онкологических заболеваний). Это происходит за счет активации так называемой оси блуждающего нерва — надпочечника. Тем не менее реальное действие иглоукалывания остается малоизученным. Группа исследователей, в которую вошли ученые из Гарвардской медицинской школы (США), Университета Фудань и Китайской академии наук (Китай), решила пролить свет на эти вопросы и выяснить нейроанатомическую основу действия электроакупунктуры. В прошлом году те же исследователи выдвинули гипотезу о том, что этот подход эффективен для области ног, но не для живота. Команда предположила, что за это ответственны сенсорные нейроны, которые присутствуют в задних конечностях, но которых нет в районе живота.

Чтобы проверить гипотезу, ученые провели серию экспериментов на мышах. И для начала идентифицировали некоторое количество сенсорных нейронов, отмеченных экспрессией рецептора PROKR2Cre. Как выяснилось, в самом деле таких нейронов было в три-четыре раза больше в соединительной оболочке, покрывающей сосуды и нервы — фасции — задних конечностей, чем в фасции живота.

После этого ученые вывели мышей, у которых отсутствовали эти сенсорные нейроны. И обнаружили, что электроакупунктура не активировала ось блуждающего нерва — надпочечников у таких мышей. В другом эксперименте авторы статьи использовали световую стимуляцию, чтобы напрямую воздействовать на сенсорные нейроны в глубокой фасции задних конечностей грызунов. Эта стимуляция, как и ожидалось, активировала ось блуждающего нерва — надпочечников аналогично электроакупунктуре.

В последнем эксперименте ученые изучили распределение нейронов в задних конечностях и выяснили, что в передних мышцах ног значительно больше нейронов, чем в задних: это приводит к более сильной реакции организма на иглоукалывание в передней области. Исследователи отмечают: хотя работа проводилась на мышах, основная организация нейронов, вероятно, схожа у всех млекопитающих, включая человека. Следующий шаг — исследования на людях.","акупунктура, иглоукалывание, надпочечники, нейроны, цитокиновый шторм","иглоукалывание ,надпочечники, нейроны"
"Институт космического ведомства ЦНИИмаш заказал турбореактивные двигатели для испытаний демонстратора многоразовой ракеты. Ранее стали известны сроки создания прототипа крылатой ступени. Проект российской многоразовой ракеты-носителя с крылатой ступенью движется вперед. Очередное свидетельство — заказ двигателей для будущих испытаний. Об этом со ссылкой на сайт госзакупок сообщило РИА Новости.

Как говорится в документе, закупка позволит провести летные тесты демонстраторов, что станет частью проекта «Создание комплекса летно-экспериментальных демонстраторов многоразовых возвращаемых крылатых ракетных блоков». Стоимость соглашения — 67 миллионов рублей.

Ранее стало известно, что прототип многоразовой ступени «Крыло-СВ» создадут в конце 2022 года. Аванпроект крылатой ступени был подготовлен и защищен в ФПИ (Фонд перспективных исследований) в 2019-м. Головным предприятием выступил ЭМЗ имени В. М. Мясищева. После выхода ракеты на заданную высоту крыло должно раскрыться, а реактивный двигатель — активироваться. Это позволит вернуть первую ступень домой и посадить ее в самолетном режиме. Одна из схем предполагает использование лыж. Для создания двигателя ракеты хотят задействовать 3D-принтер.

Концепция появилась не на пустом месте. В ее основе — аппарат «Байкал», который задумывался как многоразовый ускоритель носителя «Ангара». Работы над проектом вел Центр имени Хруничева. По состоянию на 2001 год был готов макет, который в том же году показали на аэрокосмической выставке в Ле-Бурже. В итоге программу свернули, хотя сама «Ангара» получила путевку в жизнь. В обозримом будущем ракета «Ангара-А5» сменит знаменитый «Протон-М».

Напомним, недавно военное ведомство показало внешний вид перспективной ракеты сверхлегкого класса, причем сразу в двух вариантах: одноразовом и многоразовом. В последнем случае носитель планируют возвращать с помощью крыльев.

Как отмечалось, одноразовый вариант сможет вывести на низкую околоземную орбиту (200 километров) до 584 килограммов грузов. Многоразовая версия способна вывести около 400 килограммов. Оба варианта хотят запустить в 2024 году. Специалисты иногда критикуют крылатую ступень, заявляя, что SpaceX при разработке Falcon 9 выбрала более оптимальный подход с точки зрения экономии. Впрочем, в России работают и в этом направлении: проект получил название «Амур-СПГ». Первый запуск ракеты намерены провести в 2026 году.","двигатели, многоразовая ракета, Роскосмос","двигатели, ракета, роскосмос, ступень "
"В составе твердых экзопланет доля железа может быть заметно выше, чем следует из состава их звезд. Это способно влиять на обитаемость экзопланет. Международная группа астрономов во главе с Варданом Абидекяном изучила соотношение тяжелых элементов в составе других звезд и вращающихся вокруг них экзопланет. Оказалось, что между концентрацией железа в атмосфере звезды и ее планеты есть связи, но она не вполне линейная. Возможной причиной этой нелинейности могут быть столкновения планет с крупными небесными телами, лишающие планету части более легких элементов. Соответствующая статья опубликована в Science, с текстом ее препринта можно ознакомиться здесь.

Астрономы уже довольно давно подметили, что у звезд, в чьих спектрах почти нет следов тяжелых элементов, трудно найти планеты. Это не обязательно означает, что их там нет — экзопланеты трудно обнаружить, если они невелики и вращаются далеко от своей звезды — но может указывать на то, что крупных планет около бедных металлами звезд мало (в астрономии металлами называют тяжелые элементы в целом). Однако исследователям до самого недавнего времени не хватало понимания того, какова ситуация у тех звезд, которые имеют нормальное количество металлов. Зависит ли доля тяжелых элементов в составе их планет от такой же доли в составе звезд?

Чтобы выяснить это, авторы статьи в Science, сравнили химический состав 27 звезд и 32 относительно небольших твердых экзопланет, вращающихся вокруг этих звезд. Следует отметить, что если состав звезд по их спектрам определить еще не так сложно, то вот состав экзопланет куда сложнее для изучения. Геологические исследования там пока провести затруднительно, поэтому на сегодня их состав определяют расчетно — сопоставляя радиус и массу планеты между собой и моделируя, какой наиболее вероятный химический состав она может иметь. Особенно сложно сделать это потому, что радиусы и массы экзопланет на сегодня трудно определять с ошибками менее 30% — но авторы работы постарались включить в нее только те случаи, когда известные ошибки минимальны.

В результате у них получилось, что вокруг звезд с более высоким содержанием железа вращаются и планеты с повышенным содержанием железа. Однако, хотя авторы ожидали, что доля железа в составе звезды задаст жесткое ограничение сверху на долю железа в составе планет, на деле вышло иначе: у некоторых планет железа в составе, по всей видимости, больше, чем можно было бы ожидать по составу ее звезды. Авторы крайне осторожны в оценках причин, по которым у некоторых планет такой «избыток железа». Один из них предполагает, что причиной могут быть гигантские столкновения этих планет, уносящие в космос наружные, более легкие слои небесного тела, но не затрагивающие содержащие много железа внутренние слои.

Понимание удельного содержания железа в той или иной планете полезно в оценке ее потенциальной интересности для дальнейших наблюдений — и в том числе потенциальной обитаемости. Если экзопланета не находится к своей звезде слишком близко, наличие в ее составе большого количества железа может говорить о наличии у нее устойчивого магнитного поля. Некоторые астрономы считают, что такое поле снижает потери воды планетами, поднимая их шансы на возникновение сложной жизни.","астрономия, металличность, экзопланеты","экзопланеты, железо, звезда"
"Ученые предложили метод, с помощью которого древесина становится в 23 раза тверже, а нож, сделанный из такого материала, почти в три раза острее, чем столовый нож из нержавеющей стали. Самые острые ножи изготавливают из стали или керамики, их производство требует высоких энергозатрат и часто негативно воздействует на окружающую среду. Авторы нового исследования предложили потенциально более экологичный способ изготовления острых ножей: для их производства предлагается использовать обработанную специальным образом древесину.

Целлюлоза — основной компонент древесины — имеет более высокое отношение прочности к плотности, чем многие другие материалы, но составляет только 40-50% древесины. Чтобы сделать древесину более прочной, ученые из Мэрилендского университета искали способ избавиться от более мягких ее составляющих (гемицеллюлозы и лигнина), не повредив при этом целлюлозный каркас.

Предложенный ими метод обработки состоит из двух основных этапов. На первом этапе из древесины частично удаляют лингин, после чего она становится мягкой, гибкой и немного хрупкой. На втором этапе древесину прессуют при высокой температуре, чтобы избавиться от лишней воды и уплотнить материал. После обработки материала и придания желаемой формы его покрывают минеральным маслом, чтобы продлить срок службы. Целлюлоза имеет свойство впитывать воду, поэтому покрытие из масла позволяет сохранить нож острым во время использования, а также после мытья в раковине или посудомоечной машине. Обработанная таким образом древесина оказалась в 23 раза прочнее обычной. Эксперименты показали, что деревянный нож из нового материала в три раза острее, чем большинство доступных в продаже столовых ножей из стали, и легко разрезает стейк средней прожарки.

Кроме того, исследователи продемонстрировали, что из предложенного ими материала можно изготавливать и деревянные гвозди — такие же острые, как обычные стальные, но не подверженные коррозии. Авторы работы надеются, что в будущем из укрепленной их методом древесины можно будет делать паркетные полы, более устойчивые к царапинам и износу.","древесина, нержавеющая сталь, целлюлоза","древесина, сталь, целлюлоза, нож"
"Российские ученые рассказали об одной из мощнейших магнитных бурь за последние несколько лет, которую зафиксировали сегодня ночью. Ученые из Лаборатории рентгеновской астрономии Солнца при Физическом институте Российской академии наук заявили, что на Земле примерно в час ночи по московскому времени началась сильнейшая магнитная буря. По их словам, это случилось неожиданно. «Индекс геомагнитной активности, который последние дни медленно снижался до спокойных значений (после вспышек конца октября), почти сразу после полуночи скачком увеличился до уровня 7 (при максимальном значении 9), что соответствует магнитной буре третьего уровня по пятибалльной шкале», — сообщили физики. Скорость солнечного ветра, по данным с космических аппаратов, резко возросла более чем до 800 километров в секунду. Рост плотности межпланетной плазмы оценили в сто раз. «Все это не оставляет сомнений, что Земли достиг крупный солнечный выброс, то есть массы солнечного вещества, выброшенные из атмосферы Солнца мощным взрывом (вспышкой)», — констатировали ученые. Сильнейшая вспышка произошла рано утром 2 ноября, она относится к уровню М1.7. В последнее время аналогичные процессы отмечали лишь в мае этого года, в мае 2019-го, августе 2018-го и сентябре 2017-го. По какой причине силу солнечного выброса не удалось верно спрогнозировать сразу, пока не ясно, это намерены выяснить. «Нестабильность магнитного поля Земли будет сохраняться еще не менее двух-трех суток, хотя вероятность повторного достижения текущих максимумов выглядит очень малой», — добавили в ФИАН.

Хотя произошедшую магнитную бурю назвали внезапной, о том, что подобные события в этом году могут быть, российские физики говорили несколько дней назад: 28 октября на нашей звезде зарегистрировали мощный всплеск активности, всего 14 вспышек. Две из них отнесли к классу М, то есть сильному, а одну — к максимальному (X). Почти все вспышки были на одном участке светила, в области номер 2887.

«Оценка воздействия на Землю со стороны происходящих событий показывает в данном случае неизбежность почти максимального удара, какой способна нанести вспышка такой силы. Прежде всего вспышка произошла в области Солнца, находящейся сейчас почти точно напротив нашей планеты. В результате солнечный удар будет нанесен с максимальной силой, а пройдет не по касательной, как это чаще всего бывает. Кроме того, космические коронографы еще вчера зарегистрировали выброшенные с Солнца облака плазмы, движущиеся в сторону Земли. <…> Основной удар по Земле придется, когда сюда доберутся плазменные облака, содержащие основную кинетическую энергию солнечного взрыва», — писали тогда ученые.","Земля, магнитная буря, солнечная вспышка, Солнце","Земля, Солнце, магнитная буря, магнитное поле, вспышка, солнечная активность"
